title,description,year,url,datasource,filename
IEEE Standard Adoption of ISO/IEC 15026-1--Systems and Software Engineering--Systems and Software Assurance--Part 1: Concepts and Vocabulary,Assurance-related terms are defined and an organized set of concepts and relationships to establish a basis for shared understanding across user communities for assurance are established in this adoption of ISO/IEC 15026-1. It provides information to users of the other parts of this International Standard including the combined use of multiple parts. The essential concept introduced by ISO/IEC 150...,2014,https://ieeexplore.ieee.org/document/6849916/,ieee,01.htm
Professional Engineers Ontario's approach to licensing software engineering practitioners,"Professional Engineers Ontario (PEO) has developed a methodology to assess software practitioners' qualifications for licensing purposes. It entails a comprehensive assessment of the applicants' academic preparation and work experience vis-a/spl grave/-vis PEO's software engineering body of knowledge and criteria for acceptable experience. Using this approach, PEO has licen...",2001,https://ieeexplore.ieee.org/document/913823/,ieee,01.htm
An introductory software engineering course for software engineering program,"One important issue in undergraduate software engineering curriculum is how to help students establish the concept of software engineering at the beginning of software engineering undergraduate program and to provide a reasonable basis of knowledge and skills for subsequent courses. The ""Computing and Software Engineering (CSE)"", a three-semester cou...",2011,https://ieeexplore.ieee.org/document/5876115/,ieee,01.htm
IEE Colloquium on 'CASE (Computer Aided Software Engineering): Towards Software Process Maturity' (Digest No.1993/222),,1993,https://ieeexplore.ieee.org/document/273219/,ieee,01.htm
Understanding software engineering failure as part of the SWEBOK,"The Guide to the Software Engineering Body of Knowledge (GSWEBOK) is a good first step in characterizing the contents of the software engineering discipline and in providing a topical access to the Software Engineering Body of Knowledge (SWEBOK). However, the GSWEBOK is seriously lacking as a guide to how the SWEBOK can be used to explore system failures as a wa...",2001,https://ieeexplore.ieee.org/document/913843/,ieee,01.htm
Harmonization of software engineering and system engineering standards,"Software is increasingly performing vital functions in systems such as consumer products, military, telecommunication, medical, and banking. However, software engineering and conventional engineering have not been integrated into a cohesive and concurrent system engineering. Consequently, software engineering is essentially developing on its own and does n...",1995,https://ieeexplore.ieee.org/document/525973/,ieee,01.htm
Applying software reliability engineering process to software development in Korea defense industry,"In Korea weapon system software development, there is a manual which defines the process for software development, support and management. Although this manual guides developers to perform static and dynamic testing of source code, these are not sufficient for developing reliable software. Therefore undefined activities in the manual, such as modeling software reliability a...",2017,https://ieeexplore.ieee.org/document/8109257/,ieee,01.htm
Rochester Institute of Technology Bachelor of Science in Software Engineering CSEE&amp;T Hall of Fame Nomination,"In the fall of 1996, the Rochester Institute of Technology launched the first undergraduate software engineering program in the United States. The culmination of five years of planning, development, and review, the program was designed from the outset to prepare graduates for professional positions in commercial and industrial software development. From an initial class of 15, th...",2017,https://ieeexplore.ieee.org/document/8166675/,ieee,01.htm
Re-founding software engineering practice - The SEMAT initiative,"In 2009 a group of leading international Software Engineering thinkers, authors and methodologists began collaborating on an initiative to “Re-found” Software Engineering. Ivar Jacobson (Use Cases, UML, RUP), Bertrand Meyer (Design-by-Contract and the OO Language Eiffel) and Richard Soley (CEO of the Object Management Group (OMG)) established the SEMAT (Software En... View more",2012,https://ieeexplore.ieee.org/document/6242347/,ieee,01.htm
IEE Colloquium on 'Software Engineering and AI (Artificial Intelligence)' (Digest No.087),,1992,https://ieeexplore.ieee.org/document/168189/,ieee,01.htm
"Software engineering education in the era of outsourcing, distributed development, and open source software: challenges and opportunities","As software development becomes increasingly globally distributed, and more software functions are delegated to common open source software (OSS) and commercial off-the-shelf (COTS) components, practicing software engineers face significant challenges for which current software engineering curricula may leave them inadequately prepared. A new multi-faceted...",2005,https://ieeexplore.ieee.org/document/1553627/,ieee,01.htm
Towards flexible automated support to improve the quality of computational science and engineering software,"Continual evolution of the available hardware (e.g. in terms of increasing size, architecture, and computing power) and software (e.g. reusable libraries) is the norm rather than exception. Our goal is to enable CSE developers to spend more of their time finding scientific results by capitalizing on these evolutions instead of being stuck in fixing software engineering (SE) probl...",2013,https://ieeexplore.ieee.org/document/6615104/,ieee,01.htm
Educating students by “real-world” software engineering practice — Designing software engineering practice course,"Introductory Software Engineering courses present the principles in isolation from practice. Teaching the lectures seems to focus on philosophy and methodology level, which leads to difficulty for students having no practical experience to understand. To solve this problem, we design Software Engineering Practice course at Peking University, and educate students by “Real-wo...",2012,https://ieeexplore.ieee.org/document/6295315/,ieee,01.htm
IEE Colloquium on 'Software Engineering Education' (Digest No.28),,1988,https://ieeexplore.ieee.org/document/208833/,ieee,01.htm
[Journal First] Challenges and Pitfalls on Surveying Evidence in the Software Engineering Technical Literature: An Exploratory Study with Novices,"The evidence-based software engineering approach advocates the use of evidence from empirical studies to support the decisions on the adoption of software technologies by practitioners in the software industry. To this end, many guidelines have been proposed to contribute to the execution and repeatability of literature reviews, and to the confidence of their results, espec...",2018,https://ieeexplore.ieee.org/document/8453200/,ieee,01.htm
"ISO/IEC/IEEE International Standard - Systems and software engineering - Engineering and management of websites for systems, software, and services information","This standard defines system engineering and management requirements for the life cycle of websites, including strategy, design, engineering, testing and validation, and management and sustainment for Intranet and Extranet environments. The goal of this standard is to improve the usability of informational websites and ease of maintenance of managed Web operations in terms of locating ...",2015,https://ieeexplore.ieee.org/document/7106438/,ieee,01.htm
Proceedings 25th International Conference on Software Engineering,The following topics are dealt with: software components; software testing; formal methods; software design; program analysis; software architecture; software engineering education; software fault correction.,2003,https://ieeexplore.ieee.org/document/1201182/,ieee,01.htm
Towards optimization of Software Engineering ontologies,"This paper presents detail analysis of generic and specific Software Engineering ontologies. The analysis results can be used as a road map for the optimization of existing or developing new ontologies. For this purpose, state of the art ontologies have been selected and analyzed in terms of their domain covered, scalability, use of Software Engineering standards, scope and...",2014,https://ieeexplore.ieee.org/document/6916610/,ieee,01.htm
Exploring the Relationship between Software Process Adaptive Capability and Organisational Performance,"Software development is a complex socio-technical activity, with the result that software development organisations need to establish and maintain robust software development processes. While much debate exists regarding the effectiveness of various software development approaches, no single approach is perfectly suited to all settings and no setting is unchanging. The capa...",2015,https://ieeexplore.ieee.org/document/7214314/,ieee,01.htm
Curious software engineering experience,"It is paramount for software engineers to develop the skills and background necessary to effectively work, communicate and innovate on an international scale. Our growing global world needs an increasingly diverse workforce. The effects of the globalization have been felt in the software engineering arena through software engineering projects realized by diverse...",2017,https://ieeexplore.ieee.org/document/7918174/,ieee,01.htm
Speeding-up software engineering's escape from its pre-paradigmatic stage,"Software Engineering has been for at least a decade in a pre-paradigmatic stage, lacking a broadly accepted theoretical basis. But the repeated ritual of novel theories' suggestion, enthusiastic adoption and subsequent decline, does not provide by itself enough thrust to escape the pre-paradigmatic stage. This paper promotes, concomitantly to novel theory proposal, active elimination o...",2013,https://ieeexplore.ieee.org/document/6613862/,ieee,01.htm
On Constraints and Count-Measures for Software Engineering,"Constraints of software engineering are inherent by its intangibility, complexity, and diversity. A comprehensive set of 14 basic constraints of software engineering are identified in this paper, which can be classified into three categories known as the cognitive, organizational, and resource constraints. The relationships between the three categories of basic constraints ...",2006,https://ieeexplore.ieee.org/document/4054981/,ieee,01.htm
ASLA: reverse engineering approach for software license information retrieval,"Software maintenance and reuse require identification of the applied software licenses. The information needs of maintainers and reusers can be supported by reverse engineering tools at different information retrieval levels. The paper presents a reverse engineering approach called ASLA for retrieving license information typically used in OSS. User needs, system architectur...",2006,https://ieeexplore.ieee.org/document/1602380/,ieee,01.htm
A self-assessment by the software engineering community,"The most recent International Workshop on Computer-Aided Software Engineering (IWCASE) provides an assessment of the state of software development technology from academic, supplier and user perspectives. CASE is defined by IWCASE to include tools and …",0000,http://go.galegroup.com/ps/i.do?id=GALE%7CA12068446&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00010782&p=AONE&sw=w,google-scholar,01.htm
A software chasm: Software engineering and scientific computing,… the scientific-computing community and the software engineering community … in which I oppose the domain-independent solutions proffered by the software engineering community and the resulting isolation of the scientific-computing community. Continued on p. 118 Page 2 …,0000,https://ieeexplore.ieee.org/abstract/document/4375255/,google-scholar,01.htm
Search-based software engineering,… research. This section sets out some goals and milestones for the emergent search-based software engineering research community … 5. Deeper appreciation of metaheuristics within the wider software engineering community. Currently …,0000,https://www.sciencedirect.com/science/article/pii/S0950584901001896,google-scholar,01.htm
Software engineering: a practitioner's approach,"Page 1. sixth edition SOFTWARE ENGINEERING A Practitioner's Approach Page 2. Page 3 … whllwn'lm. w“ SEPA, 6/e, is accompanied by a comprehensive software engineering Web site designed to provide valuable resources for students, instructors, and software professionals …",0000,https://books.google.nl/books?hl=en&lr=&id=bL7QZHtWvaUC&oi=fnd&pg=PR27&dq=software+engineering+community&ots=O7wfcOvK9e&sig=UbQgB9RcFWdoJjAPIsLAROrUI-Q,google-scholar,01.htm
Software engineering: community and culture,"Ideas and techniques from the social sciences can improve the theory and practice of the software engineering discipline. To illustrate the contributions this cross-pollination has made, the authors focus on the nature of paradigms and software quality management …",0000,https://ieeexplore.ieee.org/abstract/document/819967/,google-scholar,01.htm
Software engineering for self-adaptive systems: A second research roadmap,"… 1 Introduction The complexity of current software systems has led the software engineering community to investigate innovative ways of developing, deploying, managing and evolving software-intensive systems and services …",0000,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_1,google-scholar,01.htm
Selecting empirical methods for software engineering research,"… In software engineering, it includes research that actively seeks to challenge existing perceptions about software practice, most notably the open source movement, and, arguably, the process improvement community and the agile community …",0000,https://link.springer.com/10.1007/978-1-84800-044-5_11,google-scholar,01.htm
Database system support for software engineering,"… The purpose of this paper is to raise the level of awareness in the software engineering community about this research on database systems for design applications. It describes technical problems and proposed solutions, and provides an extensive bibliography …",0000,https://dl.acm.org/citation.cfm?id=41782,google-scholar,01.htm
Value-based software engineering,"… the ap- plication. The authors are drawn largely from the software engineering research community that is involved in the areas of software engineering decision making, measurement, and investment. This book presents an …",0000,https://books.google.nl/books?hl=en&lr=&id=CAlM6nNPcsgC&oi=fnd&pg=PR6&dq=software+engineering+community&ots=R1MMjN9ZKs&sig=nB6tu9IudjnJwt2nVhmEzsBGEY4,google-scholar,01.htm
What does software engineering community microblog about?,Microblogging is a new trend to communicate and to disseminate information. One microblog post could potentially reach millions of users. Millions of microblogs are generated on a daily basis on popular sites such as Twitter. The popularity of microblogging …,0000,https://dl.acm.org/citation.cfm?id=2664483,google-scholar,01.htm
